Line #,Key,en Version,ka Translation
68,ka.admin.actions.new.link,Add a new %{model_label},Add a new %{model_label}
69,ka.admin.actions.new.done,created,created
70,ka.admin.actions.edit.title,Edit %{model_label} '%{object_label}',Edit %{model_label} '%{object_label}'
71,ka.admin.actions.edit.menu,Edit,Edit
72,ka.admin.actions.edit.breadcrumb,Edit,Edit
73,ka.admin.actions.edit.link,Edit this %{model_label},Edit this %{model_label}
74,ka.admin.actions.edit.done,updated,updated
75,ka.admin.actions.delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
76,ka.admin.actions.delete.menu,Delete,Delete
77,ka.admin.actions.delete.breadcrumb,Delete,Delete
78,ka.admin.actions.delete.link,Delete '%{object_label}',Delete '%{object_label}'
79,ka.admin.actions.delete.done,deleted,deleted
80,ka.admin.actions.bulk_delete.title,Delete %{model_label_plural},Delete %{model_label_plural}
81,ka.admin.actions.bulk_delete.menu,Multiple delete,Multiple delete
82,ka.admin.actions.bulk_delete.breadcrumb,Multiple delete,Multiple delete
83,ka.admin.actions.bulk_delete.bulk_link,Delete selected %{model_label_plural},Delete selected %{model_label_plural}
84,ka.admin.actions.export.title,Export %{model_label_plural},Export %{model_label_plural}
85,ka.admin.actions.export.menu,Export,Export
86,ka.admin.actions.export.breadcrumb,Export,Export
87,ka.admin.actions.export.link,Export found %{model_label_plural},Export found %{model_label_plural}
88,ka.admin.actions.export.bulk_link,Export selected %{model_label_plural},Export selected %{model_label_plural}
89,ka.admin.actions.export.done,exported,exported
90,ka.admin.actions.history_index.title,History for %{model_label_plural},History for %{model_label_plural}
91,ka.admin.actions.history_index.menu,History,History
92,ka.admin.actions.history_index.breadcrumb,History,History
93,ka.admin.actions.history_show.title,History for %{model_label} '%{object_label}',History for %{model_label} '%{object_label}'
94,ka.admin.actions.history_show.menu,History,History
95,ka.admin.actions.history_show.breadcrumb,History,History
96,ka.admin.actions.user_soft_delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
97,ka.admin.actions.user_soft_delete.menu,Delete,Delete
98,ka.admin.actions.user_soft_delete.breadcrumb,Delete,Delete
99,ka.admin.actions.user_soft_delete.link,Delete '%{object_label}',Delete '%{object_label}'
100,ka.admin.actions.user_soft_delete.done,deleted,deleted
101,ka.admin.actions.changelog.title,Change Log,Change Log
102,ka.admin.actions.changelog.menu,Change Log,Change Log
103,ka.admin.actions.changelog.breadcrumb,Change Log,Change Log
104,ka.admin.actions.changelog.version,Version,Version
105,ka.admin.form.cancel,Cancel,Cancel
106,ka.admin.form.basic_info,Basic info,Basic info
107,ka.admin.form.required,Required,Required
108,ka.admin.form.optional,Optional,Optional
109,ka.admin.form.one_char,character,character
