Line #,Key,en Version,ka Translation
279,ka.labels.filter.source_type,Source Type,Source Type
280,ka.labels.filter.language,Language,Language
281,ka.labels.filter.person,Person,Person
282,ka.labels.filter.role,Role,Role
283,ka.labels.filter.date,Date,Date
284,ka.labels.filter.date_explanation,Pick start date or end date or both.,Pick start date or end date or both.
285,ka.labels.filter.date_start,Start Date,Start Date
286,ka.labels.filter.date_end,End Date,End Date
287,ka.labels.filter.date_close,Confirm,Confirm
288,ka.labels.filter.date_clear,Clear,Clear
289,ka.labels.filter.no_date,None,None
290,ka.labels.unknown,Unknown,Unknown
291,ka.labels.meta.publication_type,Type,Type
292,ka.labels.meta.publication_language,Language,Language
293,ka.labels.meta.illustration_count,Images,Images
294,ka.labels.meta.issue_count,Issues,Issues
295,ka.labels.meta.publication_count,Sources,Sources
296,ka.labels.meta.publication_year,Year,Year
297,ka.labels.meta.creation_year,Year,Year
298,ka.labels.meta.editor,Editor,Editor
299,ka.labels.meta.publisher,Publisher,Publisher
300,ka.labels.meta.writer,Writer,Writer
301,ka.labels.meta.year_start,Start,Start
302,ka.labels.meta.year_end,End,End
303,ka.labels.meta.issue_number,Issue,Issue
304,ka.labels.meta.publication_date,Published,Published
305,ka.labels.meta.in_the_news,In The News,In The News
306,ka.labels.meta.journal,Journal,Journal
307,ka.labels.meta.published_in,Published In,Published In
308,ka.labels.meta.date_birth,Born,Born
309,ka.labels.meta.date_death,Died,Died
310,ka.labels.meta.tags,Tags,Tags
311,ka.labels.meta.roles,Roles,Roles
312,ka.labels.meta.people,People,People
313,ka.labels.meta.lived,Lived,Lived
314,ka.messages.no_data,There is no data on record at this time.,There is no data on record at this time.
315,ka.messages.no_issues,There are no issues on record at this time.,There are no issues on record at this time.
316,ka.messages.no_illustrations,There are no images on record at this time.,There are no images on record at this time.
317,ka.navigation_groups.primary,Primary Data,Primary Data
318,ka.navigation_groups.supporting,Supporting Data,Supporting Data
319,ka.navigation_groups.news,News Items,News Items
320,ka.navigation_groups.admin,Admin,Admin
321,ka.meta.site_name,Beyond Caricature,Beyond Caricature
322,ka.meta.sub_title,The Oskar Schmerling Digital Archive,The Oskar Schmerling Digital Archive
323,ka.meta.description,This is a brief description of the site,This is a brief description of the site
324,ka.meta.twitter_site,@schmerling,@schmerling
325,ka.languages.en,English,English
326,ka.languages.ru,Russian,Russian
327,ka.languages.az,Azeri,Azeri
328,ka.languages.ka,Georgian,Georgian
329,ka.languages.hy,Armenian,Armenian
330,ka.status.yes,Yes,Yes
331,ka.status.true,Yes,Yes
332,ka.status.no,No,No
333,ka.status.false,No,No
334,ka.devise.failure.deleted_account,Your account has been deleted and you can no longer login.,Your account has been deleted and you can no longer login.
335,ka.home.index.oskar_alt,Self portrait of Oskar Schmerling holding a whip and wearing horns,Self portrait of Oskar Schmerling holding a whip and wearing horns
336,ka.home.index.scroll,Scroll,Scroll
337,ka.home.about.donors.reed,Reed College,Reed College
338,ka.home.about.donors.nceeer,National Council for Eurasian and East European Research,National Council for Eurasian and East European Research
339,ka.home.about.partners.geo_library,National Parliamentary Library of Georgia,National Parliamentary Library of Georgia
340,ka.shared.news_item.related_item_explanation,Related Items,Related Items
