Line #,Key,en Version,ru Translation
254,ru.labels.all_news,View All News,View All News
255,ru.labels.all_research,View All Research,View All Research
256,ru.labels.about,About,About
257,ru.labels.highlights,Highlights,Highlights
258,ru.labels.home,Home,Home
259,ru.labels.contact,Contact,Contact
260,ru.labels.followus,Follow us on:,Follow us on:
261,ru.labels.facebook,Facebook,Facebook
262,ru.labels.twitter,Twitter,Twitter
263,ru.labels.donors,Funding,Funding
264,ru.labels.partners,Partners,Partners
265,ru.labels.contributors,Contributors,Contributors
266,ru.labels.read_more,Read More,Read More
267,ru.labels.view_all,View All,View All
268,ru.labels.view_all_with_count,View All %{number} %{title} Records,View All %{number} %{title} Records
269,ru.labels.stats,Stats,Stats
270,ru.labels.journals,Journals,Journals
271,ru.labels.journal_issues,Journal Issues,Journal Issues
272,ru.labels.books,Books,Books
273,ru.labels.originals,Originals,Originals
274,ru.labels.languages,Languages,Languages
275,ru.labels.by,By,By
276,ru.labels.lived,Lived,Lived
277,ru.labels.roles,Roles,Roles
278,ru.labels.type,Type,Type
279,ru.labels.next,Next,Next
280,ru.labels.previous,Previous,Previous
281,ru.labels.view_bigger_image,Click to view the original image,Click to view the original image
282,ru.labels.view_annotations,View Annotations,View Annotations
283,ru.labels.annotations_for,Annotations For: %{name},Annotations For: %{name}
284,ru.labels.annotation_help,Click on numbers to view the annotation text,Click on numbers to view the annotation text
285,ru.labels.publication_date,Published,Published
286,ru.labels.list,View the records in a list view,View the records in a list view
287,ru.labels.grid,View the records in a grid view,View the records in a grid view
288,ru.labels.publication_dates.journal,Issue Dates,Issue Dates
289,ru.labels.publication_dates.book,Year,Year
290,ru.labels.publication_dates.original,Year,Year
291,ru.labels.filters,Filters,Filters
292,ru.labels.filter.search,Search,Search
293,ru.labels.filter.source_type,Source Type,Source Type
294,ru.labels.filter.language,Language,Language
295,ru.labels.filter.person,Person,Person
296,ru.labels.filter.role,Role,Role
297,ru.labels.filter.date,Date,Date
298,ru.labels.filter.date_explanation,Pick start date or end date or both.,Pick start date or end date or both.
299,ru.labels.filter.date_start,Start Date,Start Date
300,ru.labels.filter.date_end,End Date,End Date
301,ru.labels.filter.date_close,Confirm,Confirm
302,ru.labels.filter.date_clear,Clear,Clear
303,ru.labels.filter.no_date,None,None
304,ru.labels.unknown,Unknown,Unknown
305,ru.labels.meta.publication_type,Type,Type
306,ru.labels.meta.publication_language,Language,Language
