Line #,Key,en Version,hy Translation
132,hy.admin.export.csv.encoding_to_help,Choose output encoding. Leave empty to let current input encoding untouched: (%{name}),Choose output encoding. Leave empty to let current input encoding untouched: (%{name})
133,hy.admin.export.csv.skip_header,No header,No header
134,hy.admin.export.csv.skip_header_help,Do not output a header (no fields description),Do not output a header (no fields description)
135,hy.admin.export.csv.default_col_sep,",",","
136,hy.admin.export.csv.col_sep,Column separator,Column separator
137,hy.admin.export.csv.col_sep_help,Leave blank for default ('%{value}'),Leave blank for default ('%{value}')
138,hy.admin.help.required_for_publication,Required for making public,Required for making public
139,hy.admin.help.soft_delete,"To re-activate a user, delete the date","To re-activate a user, delete the date"
140,hy.admin.help.sort,Drag and drop the items to put them in the order you want them to appear,Drag and drop the items to put them in the order you want them to appear
141,hy.admin.help.move,Drag this item up or down to change the order you want them to appear,Drag this item up or down to change the order you want them to appear
142,hy.admin.help.only_public_items,Only published items are shown in the list,Only published items are shown in the list
143,hy.admin.help.only_active_languages,Only active languages are shown in the list,Only active languages are shown in the list
144,hy.admin.help.missing_annotation_image,"After you load an illustration, the image will appear here.","After you load an illustration, the image will appear here."
145,hy.admin.help.annotation.add,Place marker on image,Place marker on image
146,hy.admin.help.image,"Only jpg, jpeg or png files are allowed. Image must be less than 5MB.","Only jpg, jpeg or png files are allowed. Image must be less than 5MB."
147,hy.admin.help.image_size.highlight,Image should be at least 900x632px.,Image should be at least 900x632px.
148,hy.admin.help.image_size.illustration,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
149,hy.admin.help.image_size.person,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
150,hy.admin.help.image_size.news,"One listing pages, this image will have a size of 438x326px and 400x204px.","One listing pages, this image will have a size of 438x326px and 400x204px."
151,hy.admin.help.image_size.research,"One listing pages, this image will have a size of 438x326px.","One listing pages, this image will have a size of 438x326px."
152,hy.admin.help.image_size.publication,"One listing pages, this image will have a size of 400x204px.","One listing pages, this image will have a size of 400x204px."
153,hy.admin.help.image_size.slideshow,Image should have a width of at least 844px.,Image should have a width of at least 844px.
154,hy.admin.help.file,Only PDF files are allowed. File must be less than 30MB.,Only PDF files are allowed. File must be less than 30MB.
155,hy.admin.help.person,Only published People are shown.,Only published People are shown.
156,hy.admin.help.slideshow_placeholder,"By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear.","By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear."
157,hy.admin.help.is_illustrator,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.
158,hy.admin.help.page_content_name,This is just a unique value that can be used to find and show the correct content on a page.,This is just a unique value that can be used to find and show the correct content on a page.
159,hy.admin.help.required,Required,Required
160,hy.admin.help.crop_alignment,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.
161,hy.admin.errors.required_for_publication,is required for making the language public,is required for making the language public
162,hy.admin.errors.required_related_item,is required,is required
