Line #,Key,en Version,az Translation
203,az.activerecord.attributes.user.name,Name,Name
204,az.activerecord.attributes.user.role,Role,Role
205,az.activerecord.attributes.user.roles.uploader,Uploader,Uploader
206,az.activerecord.attributes.user.roles.editor,Editor,Editor
207,az.activerecord.attributes.user.roles.admin,Admin,Admin
208,az.activerecord.attributes.user.roles.superadmin,Super Admin,Super Admin
209,az.crop_alignments.center,Center,Center
210,az.crop_alignments.north,North,North
211,az.crop_alignments.northwest,North West,North West
212,az.crop_alignments.west,West,West
213,az.crop_alignments.southwest,South West,South West
214,az.crop_alignments.south,South,South
215,az.crop_alignments.southeast,South East,South East
216,az.crop_alignments.east,East,East
217,az.crop_alignments.northeast,North East,North East
218,az.labels.translations,Translation Fields,Translation Fields
219,az.labels.illustration_count,Images on File,Images on File
220,az.labels.issue_count,Issues on File,Issues on File
221,az.labels.combined_publications_count,Source Images,Source Images
222,az.labels.is_public_status,Public Status,Public Status
223,az.labels.required_for_publication,Required fields for making public are missing,Required fields for making public are missing
224,az.labels.language_error,%{lang} Error: %{msg},%{lang} Error: %{msg}
225,az.labels.language_switcher,Language Switcher,Language Switcher
226,az.labels.view,View,View
227,az.labels.view_file,View PDF,View PDF
228,az.labels.view_file_with_size,View %{name} PDF (%{size}),View %{name} PDF (%{size})
229,az.labels.news,News,News
230,az.labels.research,Research,Research
231,az.labels.related_items,Releated Items,Releated Items
232,az.labels.slideshow,Slideshow,Slideshow
233,az.labels.publications,Sources,Sources
234,az.labels.publication,Source,Source
235,az.labels.illustrations,Images,Images
236,az.labels.illustration,Image,Image
237,az.labels.illustrators,Illustrators,Illustrators
238,az.labels.people,People,People
239,az.labels.issues,Issues,Issues
240,az.labels.all_news,View All News,View All News
241,az.labels.all_research,View All Research,View All Research
242,az.labels.about,About,About
243,az.labels.highlights,Highlights,Highlights
244,az.labels.home,Home,Home
245,az.labels.contact,Contact,Contact
246,az.labels.followus,Follow us on:,Follow us on:
247,az.labels.facebook,Facebook,Facebook
248,az.labels.twitter,Twitter,Twitter
249,az.labels.donors,Funding,Funding
250,az.labels.partners,Partners,Partners
251,az.labels.contributors,Contributors,Contributors
252,az.labels.read_more,Read More,Read More
253,az.labels.view_all,View All,View All
254,az.labels.view_all_with_count,View All %{number} %{title} Records,View All %{number} %{title} Records
255,az.labels.stats,Stats,Stats
256,az.labels.journals,Journals,Journals
257,az.labels.journal_issues,Journal Issues,Journal Issues
258,az.labels.books,Books,Books
259,az.labels.originals,Originals,Originals
260,az.labels.languages,Languages,Languages
261,az.labels.by,By,By
262,az.labels.lived,Lived,Lived
263,az.labels.roles,Roles,Roles
264,az.labels.type,Type,Type
265,az.labels.next,Next,Next
266,az.labels.previous,Previous,Previous
267,az.labels.view_bigger_image,Click to view the original image,Click to view the original image
268,az.labels.view_annotations,View Annotations,View Annotations
269,az.labels.annotations_for,Annotations For: %{name},Annotations For: %{name}
270,az.labels.annotation_help,Click on numbers to view the annotation text,Click on numbers to view the annotation text
271,az.labels.publication_date,Published,Published
272,az.labels.list,View the records in a list view,View the records in a list view
273,az.labels.grid,View the records in a grid view,View the records in a grid view
274,az.labels.publication_dates.journal,Issue Dates,Issue Dates
275,az.labels.publication_dates.book,Year,Year
276,az.labels.publication_dates.original,Year,Year
277,az.labels.filters,Filters,Filters
278,az.labels.filter.search,Search,Search
279,az.labels.filter.source_type,Source Type,Source Type
280,az.labels.filter.language,Language,Language
281,az.labels.filter.person,Person,Person
282,az.labels.filter.role,Role,Role
283,az.labels.filter.date,Date,Date
284,az.labels.filter.date_explanation,Pick start date or end date or both.,Pick start date or end date or both.
285,az.labels.filter.date_start,Start Date,Start Date
286,az.labels.filter.date_end,End Date,End Date
287,az.labels.filter.date_close,Confirm,Confirm
288,az.labels.filter.date_clear,Clear,Clear
289,az.labels.filter.no_date,None,None
290,az.labels.unknown,Unknown,Unknown
291,az.labels.meta.publication_type,Type,Type
292,az.labels.meta.publication_language,Language,Language
293,az.labels.meta.illustration_count,Images,Images
294,az.labels.meta.issue_count,Issues,Issues
295,az.labels.meta.publication_count,Sources,Sources
296,az.labels.meta.publication_year,Year,Year
297,az.labels.meta.creation_year,Year,Year
298,az.labels.meta.editor,Editor,Editor
299,az.labels.meta.publisher,Publisher,Publisher
300,az.labels.meta.writer,Writer,Writer
301,az.labels.meta.year_start,Start,Start
302,az.labels.meta.year_end,End,End
303,az.labels.meta.issue_number,Issue,Issue
304,az.labels.meta.publication_date,Published,Published
305,az.labels.meta.in_the_news,In The News,In The News
306,az.labels.meta.journal,Journal,Journal
307,az.labels.meta.published_in,Published In,Published In
308,az.labels.meta.date_birth,Born,Born
309,az.labels.meta.date_death,Died,Died
310,az.labels.meta.tags,Tags,Tags
311,az.labels.meta.roles,Roles,Roles
312,az.labels.meta.people,People,People
313,az.labels.meta.lived,Lived,Lived
314,az.messages.no_data,There is no data on record at this time.,There is no data on record at this time.
315,az.messages.no_issues,There are no issues on record at this time.,There are no issues on record at this time.
316,az.messages.no_illustrations,There are no images on record at this time.,There are no images on record at this time.
317,az.navigation_groups.primary,Primary Data,Primary Data
318,az.navigation_groups.supporting,Supporting Data,Supporting Data
319,az.navigation_groups.news,News Items,News Items
320,az.navigation_groups.admin,Admin,Admin
321,az.meta.site_name,Beyond Caricature,Beyond Caricature
322,az.meta.sub_title,The Oskar Schmerling Digital Archive,The Oskar Schmerling Digital Archive
323,az.meta.description,This is a brief description of the site,This is a brief description of the site
324,az.meta.twitter_site,@schmerling,@schmerling
325,az.languages.en,English,English
326,az.languages.ru,Russian,Russian
327,az.languages.az,Azeri,Azeri
328,az.languages.ka,Georgian,Georgian
329,az.languages.hy,Armenian,Armenian
330,az.status.yes,Yes,Yes
331,az.status.true,Yes,Yes
332,az.status.no,No,No
333,az.status.false,No,No
334,az.devise.failure.deleted_account,Your account has been deleted and you can no longer login.,Your account has been deleted and you can no longer login.
335,az.home.index.oskar_alt,Self portrait of Oskar Schmerling holding a whip and wearing horns,Self portrait of Oskar Schmerling holding a whip and wearing horns
336,az.home.index.scroll,Scroll,Scroll
337,az.home.about.donors.reed,Reed College,Reed College
338,az.home.about.donors.nceeer,National Council for Eurasian and East European Research,National Council for Eurasian and East European Research
339,az.home.about.partners.geo_library,National Parliamentary Library of Georgia,National Parliamentary Library of Georgia
340,az.shared.news_item.related_item_explanation,Related Items,Related Items
